PDF Name,Job role,skills,Education
91930382.pdf,HR INTERN, Process Github Negotiation Employee relations Recruitment Administration C System Plan Specifications Acquisition Engineering Training Sourcing Recruiting Engagement Analytics Analysis Staffing,Human Resources Management Master of Business Administration (MBA) Bachelor of Science (B.Sc      Biotechnology
52979663.pdf,SENIOR HR, Safety Policies Hris Process Payroll Negotiation Strategy Business strategy Human resources Operations Finance Schedule Reports Plan Sales Security Health Supervisor Fulfillment Training Auditing Case management Technical Recruiting Money Human resource Staffing Iso,Supervision  Bachelor of Science   :  Personnel Associate of Science Associate of Science
33176873.pdf,HR DIRECTOR, Audit Hospital Policies Hris Requests Budget management Legal Process Payroll Recruitment Word Website Quality control Administration Travel System Budget Coaching Reports Plan Marketing Regulatory compliance Security Health Publishing Advertising Reporting Excel Training Research Automation Access Healthcare Technical Recruiting Retention Database Compliance Regulations Regulatory Staffing,Master's Degree Bachelor of Science   :  Organizational Management
30862904.pdf,HR MANAGER, Branding Metrics Policies Process Process improvement Payroll Negotiation Change management Employee relations Recruitment Administration Human resources Operations System Design Budget Protocols Marketing Talent acquisition Strategic direction Communication Sales Acquisition Vendor management Recruit Training Research Improvement Retention Recruiting Compliance Project management Annual budget Analytics Analysis Certification,Bachelor of Arts
49937469.pdf,HR ASSISTANT, Schedules Metrics Policies Requests Inventory Process Payroll Employee relations Contracts Administration Operations Customer service Budget Coaching Reports Transactions Design Startup Communication Sales Excel Training Research Retail Compliance Recruiting Regulations Expenses Staffing,BACHELOR OF ARTS
32947778.pdf,HR MANAGER, Schedules Metrics Policies Event planning Hris Process Travel arrangements Documentation Scheduling Payroll Recruitment Administration Travel Human resources Operations Budget Coaching Marketing Reports Regulatory compliance Updates Presentations Brand Sales Health Immigration Pr Recruit Reporting Training Logistics Staffing Recruiting Retention Database Compliance Human resource Analysis Regulatory International,Notary Public  Bachelor of Arts (BA)
32308556.pdf,HR VOLUNTEER ASST. MANAGER, Policies Process Scheduling Warehouse Employee relations Strategy Business strategy Operations management Administration Human resources Operations Finance Design Marketing Communication Advertising Product design Economics Budgeting Logistics Healthcare Regulations Analysis Cash flow Accounting,Master of Business Administration Master of Business Administration BA Entrepreneurship  Specializing in Logistics MBA
34554248.pdf,HR GENERALIST, Partnerships Safety Policies Hris Inventory Payroll Daily operations Marketing materials Employee relations Word Recruitment Operations management Administration Human resources Operations Finance Cuisine System Marketing Protocols Startup Brand Sales Purchasing Advertising Flex Recruit Excel Economics Budgeting Training Presentation Research Ordering Retention Powerpoint Management experience Regulations Analysis Expenses Certification International Social media Accounting,Master of Business Administration Bachelor of Arts   :  Business
44476983.pdf,HR BUSINESS PARTNER, Partnerships Metrics Policies Hris Legal Key performance indicators Process Payroll Investigations Recruitment Word Oracle Contracts Operations Budget Reports Marketing Consulting Counsel Presentations Communication Acquisition Recruit Excel Training Access Compliance Powerpoint Editing Engagement Regulations Analysis Staffing Accounting,Bachelor of Arts   :  Organizational Management  Human Resources Additional Information Organized  strong attention to detail  dedicated and committed to excellence Computer Literacy Proficient in Microsoft Suite - Word  Excel  Powerpoint  Outlook Various Oracle based HRIS  Budget and Accounting Software and Databases
57667857.pdf,HR CONSULTANT, Schedules Safety Policies Legal Process Payroll Documentation Investigations Employee relations Strategy Recruitment Contracts Human resources Operations Schedule System Design Coaching Reports Plan Regulatory compliance Networking Health Affiliate Advertising Recruit Banking Training Research Testing Licensing Improvement Retention Recruiting Compliance Analyze Regulations Regulatory Staffing,Bachelors BAAS
39650734.pdf,HR ASSISTANT, Safety Writing Policies Certification Hris Inventory Documentation Scheduling Payroll Employee relations Strategy Recruitment Word Administration Contracts Human resources Operations Transportation Customer service System Budget Marketing Plan Reports Sops Communication Networking Sales Security Recruit Forecasts Excel Banking Training Variances Peoplesoft Access Technical Recruiting Powerpoint English Windows Financing Expenses Waitress Staffing Accounting,Bachelor of Arts   :   Humanities/English Master of Science   :   Human Resource Management
32896934.pdf,HR CLERK, Safety Metrics R Requests Legal Invoicing Payroll Scheduling Administrative support Strategy Recruitment Business strategy Employee relations Administration Human resources System Employee engagement Reports General ledger Security Purchasing Continuous improvement Reporting Training P Research Improvement Correspondence Electronics Database Business management Engagement Human resource Lean Certification Staffing Accounting,SHRM  Bachelor's Degree  BSM/HRM Associates Degree
87968870.pdf,HR GENERALIST, Safety Schedules Policies International Hris Process Sharepoint Payroll Investigations Employee relations Recruitment Administration Contracts Human resources Regulatory compliance Reports Standard operating procedures Health Vendor management Continuous improvement Law enforcement Training Improvement Retention Compliance Recruiting Human resource Regulatory Staffing,BBA Associate of Science   :   Liberal Arts
93002334.pdf,HR ANALYST, Risk management Schedules Distribution Requests Psychology Process Sharepoint Documentation Scheduling Employee relations Word Travel Conversion Human resources System Reports Updates Communication Visio Sales Excel Ms excel On-boarding Training P Logistics Testing Improvement Retail Sap Technical Database Analyze Certification,Bachelor   :  Psychology Skills Systems: Excel  Outlook  Power Point  Visio  One Note  Share Point  SAP  Advise HR  Siebel  TALX  Autonomy  Survey Monkey  Taleo Training: Prosci Change Management Certification (2015)  Herrmann Brain Dominance Instrument (2014)  Interview Skills Selection and Development (2014)
93112113.pdf,HR MANAGER, Policies Hris Psychology Legal Process Payroll Documentation Investigations Employee relations Recruitment Human resources System Design Coaching Reports Plan Counsel Communication Controls Health Filing Recruit Reporting Training Research Testing Improvement Sourcing Technical Recruiting Compliance Regulations Certification Staffing,B.A
73077810.pdf,HR GENERALIST/RECRUITER, Metrics Policies Hris Process Payroll Recruitment Administration Customer service System Coaching Quickbooks Reports Plan Protocols Sales Health Training Logistics Vendors Retention Recruiting Database Compliance Regulations Windows Workflow Staffing,Masters of Administrative Science B.S
72231872.pdf,HR GENERALIST, Schedules Tax Policies Distribution Call center Hris Requests Invoicing Process Inventory Payroll Marketing materials Employee relations Word Recruitment Website Administration Human resources Operations Customer service Finance Tableau System Design Transactions Reports Plan Marketing Startup Communication Advertising Leadership development Filing Reporting Excel On-boarding Budgeting Training Vendors Retail Correspondence Recruiting Compliance Powerpoint Analyze Engagement Regulations Human resource,New England College of Business and Finance  Masters of Science Human Resources Management Bachelor's   :  Business Administration
51769822.pdf,HR SPECIALIST, Writing Sales management Inventory Process Invoicing Payroll French Employee relations Word Administration Customer service System Marketing Reports Plan Spreadsheets Communication Sales Purchasing Supervisor Pr Filing Excel Accounting Training Technical Payments English Windows Administrative support Analytical Real estate Billing,BA
